isin,issuer,type,rating,coupon,frequency,maturity,face,price,platform_yield,engine_yield,dev_bps,best_convention,staggered,recon_diff_pts
INE516Y07444,Piramal Finance Limited,Secured - Regular Bond/Debenture,CARE AA+,6.75,SEMI ANNUALLY,26 Sep 2031,1000.0,1514.74,9.05,-2.211775,-1126.18,dirty_30_360_effective,True,-60.7268
INE146O08399,Hinduja Leyland Finance Limited,Subordinate Debt Tier 2,CARE AA+,9.25,ANNUALLY,09 Jul 2031,100000.0,107746.63,9.3,7.542347,-175.77,dirty_30_360_nominal,False,-7.9755
INE053F07579,Indian Railway Finance Corporation Lim,Tax-free Bond,CARE AAA,7.34,ANNUALLY,19 Feb 2028,10000.0,10925.83,5.18,3.425882,-175.41,dirty_30_360_nominal,False,-6.257
INE906B07EO8,National Highways Authority Of India,Tax-free Bond,CARE AAA,7.39,ANNUALLY,09 Mar 2031,10000.0,11536.12,5.16,4.394103,-76.59,dirty_30_360_nominal,False,-6.5499
INE020B07JS8,Rural Electrification Corporation Limi,Tax-free Bond,ICRA AAA,7.34,ANNUALLY,05 Nov 2030,10000.0,11217.48,5.16,5.583234,42.32,dirty_30_360_nominal,False,-4.1347
INE906B07EI0,National Highways Authority Of India,Tax-free Bond,CARE AAA,7.35,ANNUALLY,11 Jan 2031,10000.0,11118.59,5.16,5.563441,40.34,dirty_30_360_nominal,False,-2.8067
INE07HK07817,Krazybee Services Limited,Secured - Regular Bond/Debenture,CRISIL A,10.4,MONTHLY,25 Jan 2027,100000.0,100385.63,9.1,9.492395,39.24,clean_30_360_nominal,True,0.1676
INE787H07362,India Infrastructure Finance Company L,Tax-free Bond,ICRA AAA,8.73,ANNUALLY,22 Jan 2029,10000.0,11214.01,5.18,5.481415,30.14,dirty_30_360_nominal,False,-4.286
INE818W08115,Esaf Small Finance Bank Limited,Subordinate Debt Tier 2 - Lower,CARE A-,11.1,SEMI ANNUALLY,20 Apr 2031,100000.0,105950.67,11.0,10.726189,-27.38,dirty_30_360_effective,False,-5.6264
INE818W08172,Esaf Small Finance Bank Limited,Subordinate Debt Tier 2 - Lower,CARE A-,11.65,QUARTERLY,25 Jul 2032,100000.0,105374.48,11.25,11.015615,-23.44,dirty_30_360_effective,False,-3.6669
INE0M2307065,Andhra Pradesh State Beverages Corpora,State Guaranteed Bond (SLU),Ind-Ra AA,9.62,QUARTERLY,31 May 2028,1000000.0,1016078.26,8.4,8.594074,19.41,clean_30_360_nominal,True,0.3219
INE053F07728,Indian Railway Finance Corporation Lim,Tax-free Bond,CARE AAA,8.63,ANNUALLY,26 Mar 2029,10000.0,11112.13,5.18,5.355588,17.56,dirty_30_360_nominal,False,-2.9613
INE14H407132,Finnable Credit Private Limited,Secured - Regular Bond/Debenture,CARE BBB+,11.1,MONTHLY,16 Jul 2029,100000.0,99970.82,11.55,11.695408,14.54,clean_30_360_effective,True,-1.0791
INE14H407124,Finnable Credit Private Limited,Secured - Regular Bond/Debenture,CARE BBB+,11.0,MONTHLY,16 Sep 2028,100000.0,99797.44,11.55,11.692983,14.3,clean_30_360_effective,True,-0.8094
INE342T07718,Navi Finserv Limited,Secured - Regular Bond/Debenture,CRISIL A,10.3,MONTHLY,31 Mar 2028,10000.0,10023.88,10.7,10.567802,-13.22,clean_30_360_effective,False,-0.9073
INE540P07509,U.P. Power Corporation Limited,State Guaranteed Bond (SLU),Ind-Ra A+,9.95,QUARTERLY,31 Mar 2031,1000000.0,1084354.14,8.2,8.083864,-11.61,dirty_30_360_nominal,True,-1.7881
INE348L07415,Mas Financial Services Limited,Secured - Regular Bond/Debenture,CARE AA-,9.0,MONTHLY,18 Dec 2028,100000.0,99802.74,9.3698,9.482944,11.31,clean_30_360_effective,False,-0.5751
INE859C07303,Ikf Finance Limited,Secured - Regular Bond/Debenture,CARE AA-,9.0,QUARTERLY,12 Sep 2028,100000.0,99834.4,9.5,9.400445,-9.96,clean_30_360_effective,True,-0.7679
INE0M2307099,Andhra Pradesh State Beverages Corpora,State Guaranteed Bond (SLU),Ind-Ra AA,9.62,QUARTERLY,30 May 2031,1000000.0,1049951.26,8.42,8.333174,-8.68,clean_30_360_nominal,True,-0.349
INE540P07418,U.P. Power Corporation Limited,State Guaranteed Bond (SLU),Ind-Ra A+,9.7,QUARTERLY,29 Mar 2030,1000000.0,1062233.67,8.2,8.118934,-8.11,dirty_30_360_nominal,True,-1.5789
INE998Y07212,Berar Finance Limited,Secured - Regular Bond/Debenture,CRISIL BBB+,11.0,MONTHLY,25 Sep 2028,100000.0,100557.18,11.0,11.077532,7.75,dirty_30_360_nominal,True,-0.5579
INE516Q07481,Asirvad Micro Finance Limited,Secured - Regular Bond/Debenture,CRISIL AA-,9.1,MONTHLY,02 Jun 2028,100000.0,99387.66,9.65,9.72107,7.11,dirty_30_360_nominal,False,-0.2888
INE053F07835,Indian Railway Finance Corporation Lim,Tax-free Bond,CARE AAA,7.53,ANNUALLY,21 Dec 2030,10000.0,11418.58,5.16,5.096035,-6.4,dirty_30_360_nominal,False,-5.2157
INE14H407116,Finnable Credit Private Limited,Secured - Regular Bond/Debenture,CARE BBB+,11.0,MONTHLY,26 Aug 2028,10000.0,9979.66,11.55,11.48682,-6.32,dirty_30_360_nominal,True,-0.7851
INE0M2307172,Andhra Pradesh State Beverages Corpora,State Guaranteed Bond (SLU),Ind-Ra AA,9.62,QUARTERLY,29 Nov 2030,1000000.0,1045466.26,8.4,8.339849,-6.02,clean_30_360_nominal,True,-0.2201
INE540P07491,U.P. Power Corporation Limited,State Guaranteed Bond (SLU),Ind-Ra A+,9.95,QUARTERLY,29 Mar 2030,1000000.0,1069639.14,8.2,8.140623,-5.94,dirty_30_360_nominal,True,-1.5445
INE01YL07383,Earlysalary Services Private Limited,Secured - Regular Bond/Debenture,CARE A-,10.7,MONTHLY,05 Mar 2027,100000.0,101031.51,9.85,9.907276,5.73,dirty_30_360_effective,True,-0.5814
INE07HK07825,Krazybee Services Limited,Secured - Regular Bond/Debenture,CARE A,10.65,MONTHLY,12 Aug 2027,100000.0,101313.55,9.7,9.648952,-5.1,clean_30_360_effective,True,-0.4265
INE572J07810,Spandana Sphoorty Financial Limited,Secured - Regular Bond/Debenture,ICRA BBB+,11.25,MONTHLY,26 Apr 2028,10000.0,9985.13,11.75,11.797916,4.79,dirty_30_360_nominal,True,-0.6148
INE882Z08049,Muthoot Housing Finance Company Limite,Senior Unsecured - Regular Bond/Debenture,CRISIL AA-,10.25,MONTHLY,23 Jun 2029,100000.0,101435.17,10.0,9.956984,-4.3,dirty_30_360_nominal,True,-0.8184
